(356, 6)
(39, 2)
(340, 10)
(453, 9)
(283, 0)
(351, 5)
(28, 7)
(415, 0)
(25, 6)
(377, 8)
(329, 3)
(153, 5)
(330, 2)
(30, 6)
(315, 7)
(246, 9)
(188, 10)
(230, 1)
(232, 7)
(253, 1)
(483, 4)
(287, 3)
(55, 9)
(317, 4)
(422, 9)
(393, 1)
(34, 7)
(144, 3)
(281, 7)
(338, 0)
(7, 10)
(163, 3)
(419, 9)
(322, 1)
(189, 6)
(83, 5)
(83, 0)
(389, 9)
(152, 8)
(396, 9)
(238, 1)
(78, 7)
(10, 0)
(384, 1)
(243, 8)
(199, 1)
(498, 9)
(460, 10)
(112, 2)
(73, 9)
(447, 9)
(294, 9)
(471, 7)
(151, 9)
(166, 9)
(494, 2)
(9, 6)
(235, 3)
(100, 9)
(109, 6)
(172, 7)
(244, 8)
(360, 10)
(10, 5)
(96, 5)
(65, 4)
(101, 8)
(304, 5)
(334, 4)
(481, 10)
(428, 1)
(326, 3)
(275, 2)
(208, 0)
(266, 8)
(378, 1)
(431, 7)
(201, 1)
(487, 0)
(97, 4)
(321, 2)
(195, 3)
(71, 7)
(207, 3)
(494, 9)
(118, 2)
(87, 0)
(480, 2)
(360, 5)
(140, 7)
(196, 1)
(167, 3)
(218, 10)
(447, 10)
(67, 4)
(340, 1)
(404, 10)
(353, 4)
(340, 2)
(227, 0)
(422, 5)
(258, 9)
(141, 8)
(1, 1)
(130, 7)
(252, 2)
(3, 0)
(321, 1)
(314, 9)
(91, 9)
(145, 7)
(420, 2)
(216, 2)
(15, 5)
(358, 7)
(227, 1)
(83, 8)
(195, 4)
(297, 7)
(13, 5)
(448, 5)
(275, 7)
(232, 5)
(135, 6)
(45, 3)
(124, 7)
(420, 6)
(341, 5)
(74, 7)
(492, 1)
(257, 10)
(355, 0)
(427, 0)
(151, 9)
(158, 6)
(344, 5)
(390, 3)
