(433, 8)
(184, 10)
(251, 8)
(194, 6)
(327, 7)
(28, 5)
(209, 8)
(129, 2)
(305, 8)
(211, 3)
(66, 10)
(484, 3)
(392, 8)
(372, 10)
(429, 4)
(411, 7)
(409, 4)
(420, 10)
(301, 8)
(102, 3)
(6, 9)
(19, 0)
(308, 2)
(367, 2)
(134, 0)
(23, 3)
(376, 10)
(158, 0)
(351, 10)
(384, 4)
(26, 6)
(124, 6)
(71, 0)
(174, 1)
(103, 6)
(251, 5)
(442, 2)
(273, 6)
(95, 4)
(126, 2)
(334, 0)
(47, 3)
(399, 3)
(363, 6)
(290, 4)
(240, 0)
(276, 3)
(365, 9)
(93, 9)
(386, 3)
(75, 7)
(138, 2)
(314, 1)
(223, 10)
(323, 4)
(455, 1)
(67, 9)
(362, 3)
(119, 5)
(431, 7)
(498, 2)
(137, 9)
(256, 7)
(81, 1)
(140, 8)
(37, 10)
(407, 8)
(146, 8)
(67, 10)
(204, 3)
(434, 0)
(34, 1)
(195, 6)
(393, 0)
(62, 3)
(294, 9)
(491, 8)
(194, 9)
(107, 2)
(366, 4)
(290, 2)
(332, 7)
(317, 0)
(335, 10)
(90, 0)
(290, 2)
(130, 9)
(240, 3)
(292, 10)
(242, 8)
(320, 7)
(481, 5)
(278, 6)
(265, 4)
(77, 10)
(443, 8)
(265, 10)
(420, 1)
(311, 6)
(122, 4)
(147, 10)
(149, 7)
(427, 6)
(12, 2)
(13, 1)
(262, 4)
(449, 3)
(231, 0)
(75, 9)
(196, 10)
(451, 5)
(410, 5)
(119, 10)
(389, 7)
(354, 0)
(490, 4)
(422, 1)
(395, 10)
(492, 6)
(449, 3)
(351, 9)
(150, 6)
(328, 9)
(78, 8)
(278, 5)
(122, 2)
(382, 8)
(170, 5)
(364, 4)
(317, 6)
(146, 6)
(382, 2)
(11, 4)
(458, 2)
(495, 10)
(10, 0)
(60, 8)
(101, 3)
(31, 4)
(90, 2)
(383, 4)
(488, 1)
(498, 8)
(122, 2)
(22, 9)
(423, 8)
(282, 0)
(488, 1)
(340, 5)
(26, 8)
(133, 5)
(79, 3)
(337, 4)
(391, 1)
(155, 8)
(59, 8)
(299, 0)
(355, 9)
(75, 3)
(411, 9)
(127, 8)
(14, 7)
(218, 10)
(267, 10)
(178, 8)
(262, 8)
(272, 10)
(249, 0)
(446, 10)
(488, 8)
(94, 0)
(107, 0)
(213, 8)
(433, 6)
(415, 2)
(41, 6)
(234, 10)
(271, 3)
(53, 3)
(457, 5)
(301, 8)
(33, 5)
(376, 8)
(207, 3)
(365, 6)
(210, 8)
(16, 5)
(362, 1)
(16, 2)
(88, 1)
(161, 3)
