(185, 1)
(95, 10)
(161, 0)
(18, 4)
(177, 4)
(77, 10)
(181, 7)
(52, 3)
(195, 5)
(29, 7)
(68, 10)
(129, 6)
(72, 2)
(181, 10)
(79, 8)
(3, 0)
(187, 1)
(179, 5)
(195, 3)
(65, 3)
(36, 8)
(109, 0)
(106, 10)
(122, 1)
(82, 9)
(23, 2)
(87, 3)
(94, 5)
(188, 2)
(132, 9)
(85, 9)
(188, 6)
(5, 4)
(191, 1)
(141, 5)
(104, 6)
(181, 3)
(198, 0)
(7, 1)
(89, 7)
(30, 4)
(113, 0)
(166, 10)
(49, 6)
(45, 2)
(82, 1)
(47, 2)
(44, 6)
(90, 8)
(178, 7)
(135, 3)
(40, 8)
(16, 2)
(13, 6)
(56, 10)
(79, 5)
(87, 10)
(163, 10)
(68, 10)
(49, 0)
(181, 0)
(24, 8)
(17, 9)
(196, 7)
(78, 0)
(186, 3)
(141, 10)
(146, 10)
(24, 4)
(70, 8)
(185, 8)
(160, 2)
(117, 6)
(143, 3)
(36, 2)
(175, 2)
(2, 7)
(34, 5)
(142, 2)
(78, 0)
(142, 3)
(144, 8)
(90, 3)
(66, 10)
(4, 6)
(92, 8)
(134, 8)
(160, 3)
(139, 0)
(180, 1)
(137, 5)
(97, 5)
(179, 6)
(92, 9)
(3, 8)
(169, 5)
(60, 6)
(109, 1)
(81, 0)
(46, 10)
(168, 6)
(26, 1)
(48, 9)
(57, 8)
(24, 10)
(149, 8)
(117, 3)
(67, 1)
(10, 5)
(94, 1)
(167, 1)
(20, 1)
(124, 9)
(16, 9)
(188, 5)
